1.000000000000000000e+00,7.737313430000000158e-01
2.000000000000000000e+00,6.997075998874271452e-01
3.000000000000000000e+00,6.662686570000000419e-01
4.000000000000000000e+00,6.662686570000000419e-01
5.000000000000000000e+00,7.010188187146507710e-01
6.000000000000000000e+00,7.974042833113819118e-01
7.000000000000000000e+00,8.543879067379477332e-01
8.000000000000000000e+00,9.336519452799085794e-01
9.000000000000000000e+00,9.745152496434557055e-01
1.000000000000000000e+01,1.042763675058691497e+00
1.100000000000000000e+01,1.096632438716009572e+00
1.200000000000000000e+01,1.123823338190333088e+00
1.300000000000000000e+01,1.155457495237858234e+00
1.400000000000000000e+01,1.211680727036227090e+00
1.500000000000000000e+01,1.232935068945055779e+00
1.600000000000000000e+01,1.246530518553217171e+00
1.700000000000000000e+01,1.253694697553217274e+00
1.800000000000000000e+01,1.246896972749136578e+00
1.900000000000000000e+01,1.209749513747548022e+00
2.000000000000000000e+01,1.165892277827796253e+00
2.100000000000000000e+01,1.141090201339215460e+00
2.200000000000000000e+01,1.007034393669515859e+00
2.300000000000000000e+01,9.390571440348582932e-01
2.400000000000000000e+01,8.883582089999999543e-01
