1.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00
3.000000000000000000e+00 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00
6.000000000000000000e+00 0.000000000000000000e+00
7.000000000000000000e+00 0.000000000000000000e+00
8.000000000000000000e+00 1.149787583938604862e-01
9.000000000000000000e+00 5.611895299438125484e-01
1.000000000000000000e+01 7.586679457311223951e-01
1.100000000000000000e+01 8.673427435932574703e-01
1.200000000000000000e+01 9.236672605180210605e-01
1.300000000000000000e+01 9.912292723036864039e-01
1.400000000000000000e+01 1.000000000000000000e+00
1.500000000000000000e+01 9.887625051390982467e-01
1.600000000000000000e+01 8.508976291626696442e-01
1.700000000000000000e+01 5.995614636151843646e-01
1.800000000000000000e+01 1.330683842675071948e-01
1.900000000000000000e+01 0.000000000000000000e+00
2.000000000000000000e+01 0.000000000000000000e+00
2.100000000000000000e+01 0.000000000000000000e+00
2.200000000000000000e+01 0.000000000000000000e+00
2.300000000000000000e+01 0.000000000000000000e+00
2.400000000000000000e+01 0.000000000000000000e+00
